,연도,월,순위,곡명,가수명
96,2020,8,97,오늘따라 비가 와서 그런가 봐,솔지
97,2020,8,98,바램,임영웅
98,2020,8,99,니가 왜 거기서 나와 (Narr. 고은아),영탁
99,2020,8,100,나가,"먼데이 키즈 (Monday Kiz), 이예준"
100,2008,8,1,U-Go-Girl (With 낯선),이효리
101,2008,8,2,사랑과 전쟁 (Narr. 하하),다비치
102,2008,8,3,신데렐라,서인영
103,2008,8,4,하루 하루,BIGBANG
104,2008,8,5,So Hot,원더걸스
105,2008,8,6,가지마 가지마,브라운 아이즈
106,2008,8,7,사랑해 미안해,지아
107,2008,8,8,D.I.S.C.O  (Feat. TOP),엄정화
108,2008,8,9,이노래,2am
109,2008,8,10,사랑을 원해,쿨 (COOL)
110,2008,8,11,에너지 (Feat. 선예),마이티 마우스
111,2008,8,12,너 때문에,브라운 아이즈
112,2008,8,13,누난 너무 예뻐 (Replay),SHINee (샤이니)
113,2008,8,14,나만 바라봐,태양
114,2008,8,15,Hey Mr. Big,이효리
115,2008,8,16,Blue Moon,"씨야, 다비치, 블랙펄"
116,2008,8,17,Moai,서태지
117,2008,8,18,천국,BIGBANG
118,2008,8,19,안녕 나의 사랑,성시경
119,2008,8,20,Beautiful Life,V.O.S
120,2008,8,21,못된 여자 (Feat. 서인영),원투
121,2008,8,22,No.3 (Feat. Sol Flower),배치기
122,2008,8,23,발자국,먼데이 키즈 (Monday Kiz)
123,2008,8,24,Too Much (With 서인영) (우리결혼했어요 화제곡),크라운제이 (CROWN J)
124,2008,8,25,나만 바라봐 (Part 2),G-DRAGON
125,2008,8,26,그대에게 바래요,"솔비, 김종욱"
126,2008,8,27,가시 물고기,엠씨더맥스 (M.C the MAX)
127,2008,8,28,Oh My Friend (Feat. 노브레인),BIGBANG
128,2008,8,29,착한 사람,BIGBANG
129,2008,8,30,라라라,SG 워너비
130,2008,8,31,그대라면,알렉스
131,2008,8,32,사랑같은건 없나봐 (우리 결혼했어요 삽입곡),가비엔제이
132,2008,8,33,"서커스 (Feat. 임유경 - 달래 음악단 , ＄howgun)",MC몽
133,2008,8,34,Honey,옥주현
134,2008,8,35,Rock U,카라
135,2008,8,36,Lie,가비엔제이
136,2008,8,37,죽도록 사랑해 (Feat. 박정현),MC몽
137,2008,8,38,Lady,BIGBANG
138,2008,8,39,그럴꺼면 왜 (Feat. 베이지),PK 헤만
139,2008,8,40,가슴으로 외쳐 (Rap Feat. Rhymer),먼데이 키즈 (Monday Kiz)
140,2008,8,41,"날 봐, 귀순",대성
141,2008,8,42,우산 (Feat. 윤하),에픽하이 (EPIK HIGH)
142,2008,8,43,미쳐미쳐미쳐,바나나 걸
143,2008,8,44,This Time,원더걸스
144,2008,8,45,이순간 이대로,브라운 아이즈
145,2008,8,46,미치겠어 (Feat. M.A.C),MC몽
146,2008,8,47,One (Feat. 지선),에픽하이 (EPIK HIGH)
147,2008,8,48,사랑해요,이수 (엠씨더맥스)
148,2008,8,49,헤픈여자,일 락
149,2008,8,50,Kiss,김건모
150,2008,8,51,화신 (花信),박효신
151,2008,8,52,화분 (알렉스 Ver.) (우리결혼했어요 삽입곡),알렉스
152,2008,8,53,그대만 보며,이정
153,2008,8,54,Intro (Stand Up),BIGBANG
154,2008,8,55,그대만 보여요 (Feat. BigBang T.O.P),지아
